id,s_group_id,m_group_id,w_group_id,is_core_row
578496,,,,
575620,,,,
581392,str_0,med_0,,1
590530,str_0,med_0,,
588979,str_0,med_0,,
586542,,,,
592873,,,,
592867,,,,
592886,,,,
592882,,med_1,,1
592877,,,weak_184,
592858,,med_1,,
594006,,,weak_184,1
592854,,,,
592880,,,,
584871,,,,
595611,,med_3,,1
589766,,,,
587028,,,,
582283,str_1,med_2,,1
582782,str_1,med_2,,
583524,,,,
583566,,,,
587859,,,,
595621,,med_3,,
591649,,,,
576057,,,,
579998,,,,
582997,,,,
586804,str_2,med_4,,1
581830,,,,
583090,,,,
586422,str_2,med_4,,
586088,,,,
589163,,,,
584015,,,,
584450,,,,
581929,,,,
583795,str_3,med_5,weak_148,1
583841,str_3,med_5,,
585920,,,,
578573,,,,
585110,,,,
587947,,,,
583048,,,weak_148,1
585575,str_2,med_4,,
587310,,,,
580162,,,,
586351,,,,
589624,,,,
587505,,,,
594675,,,,
586525,,,,
582252,,,,
577165,,,,
592363,,,,
596401,,,,
585074,,,,
588254,,,,
577478,,,,
586055,,,,
592582,,,,
584691,,,,
593628,,,,
595788,,,,
592814,,,,
593345,,,,
595486,,,,
595485,,,,
581331,,med_6,,1
581328,,med_6,weak_337,
575541,,,weak_337,1
585399,,,,
585789,,,,
593853,,,,
578743,,,,
578360,,,,
583562,,,weak_440,
583514,,,weak_440,1
583702,,,,
594005,,,,
588414,,,,
592791,,,,
592544,,,,
589194,,,,
585477,,,,
585469,,,,
575485,,,,
582381,,,,
582346,,,,
582959,,,,
582868,,,,
579875,,,,
589005,,,,
582946,,,,
588678,,,,
576414,,,,
579995,,,,
579868,,,,
575271,,,,
585813,,,,
576451,,,,
588959,,,,
584345,,,,
584383,,,,
587972,,,,
589532,,,,
592843,,,,
585773,,,,
577140,,,weak_171,
577343,,,weak_171,1
589442,,,,
588927,,,,
578721,,,,
594416,,,,
583549,,,,
589872,,,,
595025,str_5,med_8,,1
594998,,med_8,,
594965,str_4,med_8,,1
589448,str_4,med_7,,
589655,str_5,med_8,,
589604,,,,
579333,,,,
589977,,,,
589429,,,,
590803,,,,
589298,,,,
584738,,,,
592453,,,,
587085,,,,
595365,,,,
592833,,,,
580863,,,,
576914,,,,
576943,,,,
583517,,,,
576525,,,,
590555,str_6,med_9,,1
580993,,med_10,,1
590634,,med_10,,
584662,,,,
590586,str_6,med_9,,
581099,,,,
580041,,,,
587389,,,,
584813,,,,
577791,str_7,med_11,,1
575289,str_7,med_11,,
596458,,,,
592678,,,,
591789,,,,
579541,,,,
589942,,,,
576645,,,,
588580,,,,
577535,,,weak_68,
575236,,,weak_68,1
580099,,,,
591658,,,,
576841,,,,
587625,,,,
594411,,,,
588574,,,,
576672,,,,
588084,,,,
586036,,,,
587110,,,,
592638,,,,
591484,,,,
586330,,,,
589466,,,,
584894,,,,
580009,,,,
579013,,,,
594917,,,weak_523,
576648,,,weak_523,1
579862,,,,
578937,,,,
594984,,,,
586831,,,,
584613,str_8,med_12,,1
584605,,,,
584633,str_8,med_12,,
584582,,,,
575205,,,,
579965,,,,
579981,,med_13,,1
579992,,med_13,,
579971,,,,
596078,,,,
577858,,,,
578947,,,,
592092,,,,
584826,,,,
585684,,,,
583835,,,,
585139,,,,
577747,,,,
578890,,,,
575773,,,,
594700,,,,
596301,,,,
582241,,,,
580869,,,,
592823,str_9,med_14,,1
590998,,,,
593242,str_9,med_14,,
575613,,,,
589535,,,,
582035,,,,
576537,,,,
593288,,,,
590406,,,,
588363,,,,
586324,,,,
596377,,,,
594761,,med_18,,1
594758,str_10,med_18,,1
594752,str_10,med_15,,
594745,,med_18,weak_200,
594741,,med_17,weak_200,1
594738,,med_17,,
594734,,,,
594725,,med_17,,
594610,str_11,med_16,,1
594607,str_11,med_16,,
596373,,,,
580567,,,,
576694,,,,
595910,,,weak_241,
594841,,,,
590973,,,,
594605,,,weak_241,1
592056,,,,
589423,,,,
577648,,,,
594910,,,,
582250,,,,
591433,str_12,med_19,weak_424,1
591426,,med_19,,
591423,,med_19,,
591421,,med_19,,
591472,,,,
591455,,,,
591470,,,,
591475,,,,
591438,,,weak_424,1
591428,str_12,med_19,,
582644,,,,
582058,str_13,med_20,,1
582664,str_13,med_20,,
595794,,,,
591904,,,,
584804,,,,
576896,,,,
585876,,,,
581117,,,,
575706,,,,
583583,,,,
581671,,,,
578234,str_15,med_22,,1
577870,,,,
579643,,,,
577163,,,,
590686,,,,
584408,,,,
591322,,,,
582630,,med_23,,1
592507,str_14,med_21,,1
592500,str_14,med_21,,
579398,,med_21,,
593191,,,,
588162,,,,
589464,,,,
578232,str_15,med_22,,
588790,,,,
583422,,med_23,,
587888,,,,
592520,,,,
580429,,,,
592825,,,,
579524,,,,
583051,,,weak_402,
584658,,,weak_531,
581218,,,,
587224,,,,
584583,,,,
583468,,,,
587057,,,,
582437,str_16,med_24,,1
583032,str_16,med_24,,
594498,,,,
583616,,,,
592541,,,weak_402,1
592549,,,,
582733,,,,
588154,,,,
582865,,,,
587452,,,,
584355,,,weak_531,1
584033,,,,
578348,,,,
584027,,,,
589372,,med_25,,1
588518,,med_25,,
585771,,,,
584066,,,,
591378,,,,
589418,,,,
581546,,,,
581455,,,,
590009,,,,
586511,,,,
586398,,,,
576912,,,,
588111,,,,
577738,,,,
577894,,,,
584806,,,,
575393,,,,
575841,,,,
579271,,,,
580888,,,,
587068,,,,
582559,str_17,med_26,weak_186,1
583499,str_17,med_26,,
596004,,,,
591473,,,,
579078,,,,
595286,,,weak_457,
592419,str_18,med_27,,1
592415,str_18,med_27,,
578560,,,weak_186,1
581863,,,,
595285,,,weak_457,1
595024,,,,
584449,,,,
583516,,,,
577207,,,,
577389,,,,
589979,,med_29,,1
578772,,,,
590557,str_19,med_28,,1
586818,,,,
583125,,,,
575292,,,,
575533,,,,
584708,,,,
581695,,,,
576080,,,,
576135,,,,
576118,,,,
590589,str_19,med_28,,
575919,,med_29,,
585508,,,,
585510,,,,
590778,,med_31,,1
587066,,,,
584579,,,,
577971,,med_32,,1
582292,,,,
593266,,,,
593241,,,,
578039,,,,
577984,,,,
578036,,,,
578022,,,,
578043,,,,
578030,,,,
578027,,,,
578047,,,,
584021,,,,
577963,,med_32,,
588391,,med_33,,1
588396,,med_33,,
590552,,,,
590561,,,,
593602,,,weak_363,
593592,,,,
576395,,,,
575309,,,,
575264,str_20,med_30,,1
575234,,med_34,,1
575422,,med_30,,
575399,,,,
575286,str_20,med_30,,
575214,,med_30,,
575248,,med_34,,
595688,,,,
594751,,,,
594744,,,,
586645,,,,
594224,,,,
578685,,,,
578696,,,,
594026,,,,
594034,,,,
577885,,,,
583218,,,,
588285,,,,
588274,,,,
587351,,,,
576732,,,,
592562,,,,
593356,,,,
592164,,,,
593386,,,,
592414,,,,
594603,,,,
590663,,,,
581227,,,,
582920,,,,
579479,,,,
587045,,,,
587041,,,,
593801,,,,
582651,,,,
582653,,,,
582649,,,,
587500,,,,
590497,,,,
596232,,,,
593790,,,,
593862,,,,
593846,,,,
584081,,,,
595672,,,,
577677,,,,
585697,,,,
585500,,,,
578161,,,,
578118,,,,
588259,,,,
579682,,,weak_195,
579695,,,,
579636,,,,
579653,,,,
586204,,,,
579642,,,,
579664,,,,
579623,,,,
579677,,,weak_195,1
579614,,,,
586123,,,,
586102,,,,
586074,,,,
585210,,,,
588767,,,,
577898,,,,
581271,,,,
581317,,,,
581296,,,,
581508,,,,
590593,,,weak_363,1
590584,,,,
593516,,,,
593501,,,,
580175,,,,
580105,,,,
596099,,,,
576717,,,,
589557,,,,
589677,,,,
589797,,med_31,,
592474,,,,
591463,,,,
583151,,med_35,,1
583195,,,weak_145,
581213,,,,
581210,,,,
575581,,,,
595441,,,,
586752,,,weak_312,
586771,,,weak_362,1
586793,,,weak_362,1
581488,,,weak_145,1
581496,,med_35,,
581239,,,,
581268,,,,
575721,,,,
584110,,,,
595348,,,,
586777,,,weak_36,
586753,,,weak_36,1
588794,,,,
584041,,,,
579693,,,,
580684,,,,
594546,,med_37,weak_217,1
593962,,,weak_217,1
594063,,med_37,,
591420,,,,
581165,,,,
583985,,,,
583753,,,,
587965,,,,
582732,,,,
580589,,,,
579922,,,,
582842,,,,
580124,,,,
592611,,,,
577622,,,,
586998,,,,
580451,,,,
584418,,,,
593914,,,,
588505,str_21,med_36,,1
585603,,med_36,,
587847,str_21,med_36,,
585624,,,,
594627,,,,
588231,,,,
579692,,,,
581947,,,,
588845,,,,
590564,,,,
591115,,,,
591105,,,,
582750,,,,
584334,,,,
584329,,,,
586084,,,,
579156,,,,
580453,,,,
580434,,,weak_203,
583678,,,weak_203,1
576706,,,,
595616,,,,
595476,,,,
595469,,,,
595466,,,,
595437,,,,
575604,,med_39,,1
575638,,med_39,,
580728,,,,
588593,,,,
585432,,,,
586917,,,,
576884,,,,
593677,,,,
593640,,med_38,,1
593659,,med_38,,
592630,,,,
592609,,,,
594754,,,,
593918,,,,
596444,,,,
578408,,,,
579508,,,,
583294,,,,
577717,,,,
588915,,,,
586386,,,,
591523,,,,
591532,,,,
578541,,,,
578378,,,,
578388,,,,
594508,,,,
580344,,,,
595011,,,,
582826,,,,
576840,,,,
576600,,,,
575558,,,,
587250,,,,
587456,,,,
587376,,,,
585546,,,,
595631,,,,
585956,,,,
595183,,,,
584404,str_22,med_40,,1
584299,str_22,med_40,,
578475,,,,
592457,,,,
581278,,,,
575743,,,,
580880,,,,
576777,,,,
592838,,,,
594206,,,,
584671,,,,
592827,,,,
594196,,,,
592539,,,,
590402,,,,
593753,,,,
580075,,,,
588538,,med_41,,1
585830,,,,
588450,,med_41,,
593435,,,,
575811,,,,
593248,,,,
592992,,,,
582911,,,,
581064,,,,
582924,,,,
589239,,,,
587722,,,weak_328,
584106,,,,
587628,,,,
587019,,,,
587018,,,,
585340,,,,
587721,,,weak_328,1
593257,,,,
593255,,,,
582201,,,weak_387,
579142,,,weak_387,1
585040,,,,
576042,,,,
585423,,,,
585034,str_23,med_42,weak_89,1
